user_id,name,quality_score,task_id,title,description,type_of_task,priority_level,due_date
ff993749-a0a5-4b9c-9bd0-d03541c9343d,User 9,0.85,29b833bd-1595-4646-a45b-b921a9c701be,Hardscape Design Execution,Design outdoor paving and seating areas for the commercial plaza.,Partition Plan,Neutral,2025-05-08
3cc50913-83fa-4266-ad6d-ec52723ae695,User 7,0.62,18bbc920-71f2-4e43-b4da-65b16ae3fb3e,Lighting Plan Design,Create a lighting and fixture layout for the retail store.,Section Drawing,Neutral,2025-05-07
abfc7d52-2bb0-4167-8c5d-677e84678588,User 2,0.87,b76c57f1-5622-44a2-989d-5e299bdf575d,Material Selection & Specification,Curate materials and finishes for the sustainable home project.,Furniture Layout Plan,Low,2025-04-30
2519d50c-3e72-470d-80eb-5ddc3d73bfe7,User 1,0.71,7aeb35cd-a576-486e-aace-51cca455a7df,Hardscape Design Execution,Design outdoor paving and seating areas for the commercial plaza.,Material Board,High,2025-04-29
e0ba479a-be86-4de0-babf-9b901cacffa9,User 6,0.86,f7febd04-b0af-4736-ba0a-446a69f33c65,Lighting Plan Design,Create a lighting and fixture layout for the retail store.,Landscape Plan,Neutral,2025-05-07
ff993749-a0a5-4b9c-9bd0-d03541c9343d,User 9,0.71,3257f150-f610-469c-a991-4c92edf789f4,Structural Coordination,Coordinate with the structural engineer for beam placements.,Zoning & Building Code Compliance,Low,2025-04-10
ff993749-a0a5-4b9c-9bd0-d03541c9343d,User 9,0.72,06bad689-8c9e-4f3e-8330-2fef47de5ba0,Hardscape Design Execution,Design outdoor paving and seating areas for the commercial plaza.,3D Model,Neutral,2025-04-10
2519d50c-3e72-470d-80eb-5ddc3d73bfe7,User 1,0.75,ce57edec-4b4c-45bc-991a-410c0b0adb14,Landscape Design Refinement,Enhance the planting layout for the residential garden.,Furniture Layout Plan,High,2025-04-13
6bd25fcb-7ce9-41fe-9153-2701a2654766,User 8,0.69,41a42620-46ba-4410-bc90-e0e1f078f7f1,3D Model Development,Create a detailed 3D model for the client’s new residential project.,Design Development,Neutral,2025-05-05
e0ba479a-be86-4de0-babf-9b901cacffa9,User 6,0.74,d26a75a9-0f19-4bd1-af1b-223c99bd4548,Structural Coordination,Coordinate with the structural engineer for beam placements.,Technical Specification,High,2025-05-08
e0ba479a-be86-4de0-babf-9b901cacffa9,User 6,0.88,2cd94205-e4d6-40d7-85d6-c95804bd376b,Interior Layout Planning,Optimize space planning for the luxury apartment interior.,Roof Plan,Neutral,2025-04-10
abfc7d52-2bb0-4167-8c5d-677e84678588,User 2,1.0,4f1c121b-4e43-417a-bbd6-f09d6ce733c3,Landscape Design Refinement,Enhance the planting layout for the residential garden.,Door & Window Schedule,Low,2025-05-05
2519d50c-3e72-470d-80eb-5ddc3d73bfe7,User 1,0.78,1f4f757e-c9f9-4d3a-80a8-aea8658a680c,Hardscape Design Execution,Design outdoor paving and seating areas for the commercial plaza.,3D Model,Low,2025-04-18
e0ba479a-be86-4de0-babf-9b901cacffa9,User 6,0.79,be0f8a89-422b-426f-a571-b3f2b890baed,Permit Drawing Submission,Prepare and submit permit drawings for approval.,Hardscape Plan,Low,2025-04-24
677dbeac-0444-4cb8-916c-7ccd4a3850f7,User 4,0.78,fdeace0a-2bfc-4ca6-8460-e790c5505bfc,Construction Documentation,Compile detailed construction drawings for city permit approval.,Reflected Ceiling Plan,High,2025-05-02
3cc50913-83fa-4266-ad6d-ec52723ae695,User 7,0.64,c853705c-1e30-41cb-9a02-5ac0db3f1208,Material Selection & Specification,Curate materials and finishes for the sustainable home project.,Landscape Plan,Neutral,2025-05-04
abfc7d52-2bb0-4167-8c5d-677e84678588,User 2,0.74,485b5462-bd6e-4895-8d2c-6edf3e0aacdf,Permit Drawing Submission,Prepare and submit permit drawings for approval.,Floor Plan,High,2025-05-01
abfc7d52-2bb0-4167-8c5d-677e84678588,User 2,0.91,9557fe06-eb26-4646-8849-41571e18e69e,Construction Documentation,Compile detailed construction drawings for city permit approval.,Design Development,Neutral,2025-04-18
bd4eefce-62a6-429b-b3c6-8e4d13042a84,User 3,0.73,8e78c762-9d13-4cad-a72d-d74b3e5d805a,Landscape Design Refinement,Enhance the planting layout for the residential garden.,Elevation Drawing,High,2025-04-19
d3d86cd4-1114-4dc1-924f-c3043dbe680a,User 10,0.65,db3b99d2-5f03-4b39-96cf-db04b3564f0c,Material Selection & Specification,Curate materials and finishes for the sustainable home project.,3D Model,Low,2025-04-14
abfc7d52-2bb0-4167-8c5d-677e84678588,User 2,0.68,94842c8c-0393-4f50-b49d-aa099a1d0a38,Lighting Plan Design,Create a lighting and fixture layout for the retail store.,Schematic Design,Low,2025-04-19
abfc7d52-2bb0-4167-8c5d-677e84678588,User 2,0.79,df354182-5f7d-4c98-9227-a6dde6501ecd,Facade Elevation Detailing,Finalize the detailed elevation drawings for the high-rise building.,Landscape Plan,Neutral,2025-05-03
2519d50c-3e72-470d-80eb-5ddc3d73bfe7,User 1,0.86,f1246b90-c21c-4266-9e3e-2eeda66fb493,Construction Documentation,Compile detailed construction drawings for city permit approval.,Section Drawing,Low,2025-04-13
51fd1ab4-407c-48ba-9780-a4c86f93c5fb,User 5,0.95,76bf6c24-6ab7-43e9-9090-ee3d51c3ca54,Conceptual Design Drafting,Prepare an initial concept sketch for the urban park renovation.,Virtual Reality,Low,2025-04-22
ff993749-a0a5-4b9c-9bd0-d03541c9343d,User 9,0.72,ab5e6712-6ac7-4276-8d67-d9552dc421b6,Site Plan Drafting,Prepare a site plan layout considering zoning and access.,Construction Document,Low,2025-04-12
ff993749-a0a5-4b9c-9bd0-d03541c9343d,User 9,0.85,f9d273e8-a86e-4e7c-910f-1a945ef00f5b,Conceptual Design Drafting,Prepare an initial concept sketch for the urban park renovation.,Floor Plan,Low,2025-05-08
3cc50913-83fa-4266-ad6d-ec52723ae695,User 7,0.66,8199b5ed-e3f7-4db0-a096-ac316ad0678c,Landscape Design Refinement,Enhance the planting layout for the residential garden.,Conceptual Design,High,2025-04-24
